objoid,classoid,objsubid,privtype,initprivs
11,2615,0,i,"{postgres=UC/postgres,=U/postgres}"
764,1255,0,i,{postgres=X/postgres}
765,1255,0,i,{postgres=X/postgres}
767,1255,0,i,{postgres=X/postgres}
826,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1136,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1213,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1214,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1247,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1249,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1255,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1259,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1260,1259,0,i,{postgres=arwdDxt/postgres}
1261,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1262,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1417,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
1418,1259,0,i,{postgres=arwdDxt/postgres}
2172,1255,0,i,{postgres=X/postgres}
2173,1255,0,i,{postgres=X/postgres}
2200,2615,0,i,"{postgres=UC/postgres,=UC/postgres}"
2224,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2274,1255,0,i,{postgres=X/postgres}
2328,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2396,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2600,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2601,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2602,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2603,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2604,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2605,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2606,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2607,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2608,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2609,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2610,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2611,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2612,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2613,1259,0,i,{postgres=arwdDxt/postgres}
2615,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2616,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2617,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2618,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2619,1259,0,i,{postgres=arwdDxt/postgres}
2620,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2621,1255,0,i,{postgres=X/postgres}
2622,1255,0,i,{postgres=X/postgres}
2623,1255,0,i,{postgres=X/postgres}
2624,1255,0,i,{postgres=X/postgres}
2625,1255,0,i,{postgres=X/postgres}
2739,1255,0,i,{postgres=X/postgres}
2753,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2848,1255,0,i,{postgres=X/postgres}
2964,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
2995,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3071,1255,0,i,{postgres=X/postgres}
3072,1255,0,i,{postgres=X/postgres}
3079,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3098,1255,0,i,{postgres=X/postgres}
3118,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3256,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3293,1255,0,i,{postgres=X/postgres}
3295,1255,0,i,{postgres=X/postgres}
3297,1255,0,i,{postgres=X/postgres}
3307,1255,0,i,{postgres=X/postgres}
3329,1255,0,i,{postgres=X/postgres}
3350,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3353,1255,0,i,"{postgres=X/postgres,pg_monitor=X/postgres}"
3354,1255,0,i,"{postgres=X/postgres,pg_monitor=X/postgres}"
3381,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3394,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3400,1255,0,i,{postgres=X/postgres}
3401,1255,0,i,{postgres=X/postgres}
3456,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3466,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3501,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3541,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3576,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3592,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3596,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3600,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3601,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3602,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3603,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3764,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
3775,1255,0,i,{postgres=X/postgres}
3776,1255,0,i,{postgres=X/postgres}
3777,1255,0,i,{postgres=X/postgres}
3800,1255,0,i,{postgres=X/postgres}
3801,1255,0,i,{postgres=X/postgres}
3826,1255,0,i,{postgres=X/postgres}
3827,1255,0,i,{postgres=X/postgres}
3828,1255,0,i,{postgres=X/postgres}
6000,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
6100,1259,0,i,{=r/postgres}
6100,1259,1,i,{=r/postgres}
6100,1259,2,i,{=r/postgres}
6100,1259,3,i,{=r/postgres}
6100,1259,4,i,{=r/postgres}
6100,1259,6,i,{=r/postgres}
6100,1259,8,i,{postgres=arwdDxt/postgres}
6102,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
6104,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
6106,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11595,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11599,1259,0,i,{postgres=arwdDxt/postgres}
11603,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11606,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11609,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11613,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11617,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11621,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11625,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11629,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11633,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11637,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11641,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11645,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11648,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11651,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11654,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11657,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11661,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11664,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11668,1259,0,i,"{postgres=arwdDxt/postgres,=rw/postgres}"
11673,1259,0,i,{postgres=arwdDxt/postgres}
11676,1259,0,i,{postgres=arwdDxt/postgres}
11679,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11682,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11685,1259,0,i,{postgres=arwdDxt/postgres}
11688,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11692,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11696,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11700,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11703,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11707,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11710,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11714,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11717,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11720,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11724,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11727,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11730,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11734,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11737,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11740,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11744,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11747,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11750,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11754,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11758,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11761,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11764,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11767,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11771,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11774,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11777,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11781,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11785,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11788,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11791,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11795,1259,0,i,"{=r/postgres,postgres=arwdDxt/postgres}"
11799,1259,0,i,{postgres=arwdDxt/postgres}

